user,date,text,latitude,longitude;;
JLH062314,Sat Aug 10 23:55:48 +0000 2019,b'End of the night #selfie! Dont do many of these coz I hate them but decided to take one and post anyway as didnt ta? https://t.co/ylnOipAumc',51.50711486,-0.12731805;;
TKbrancoo,Sat Aug 10 23:55:29 +0000 2019,b'E.P Will Be Availible on the 20/08/19 Make Sure You check It Out and Let Me Know Your Thoughts #M3MB3RSONLY @ Londo? https://t.co/1ESKaMdf2x',51.50711486,-0.12731805;;
Amr1ta,Sat Aug 10 23:50:54 +0000 2019,b'My jumpsuit is better than yours ?\n\n#rockon #ohyes #outoutout #posing #smilingasalways #saturdayfun? https://t.co/KJtYaNdgyZ',51.50711486,-0.12731805;;
JudeSamuel_,Sat Aug 10 23:46:27 +0000 2019,b'Amazing Grading day. 16 black belts on the mat. 29 belts and an amazing amount of support and technical knowledge o? https://t.co/0se6o2tRM8',51.50711486,-0.12731805;;
KlevaKeys,Sat Aug 10 23:35:02 +0000 2019,b'REVIEW: Amateur At Play::: Out Now. #soulfulhouse #deephouse #afrohouse #classichouse #techhouse #djlife? https://t.co/HnorPuPCkf',51.50711486,-0.12731805;;
KingVvadi,Sat Aug 10 23:34:43 +0000 2019,b'BIG NEWS! SHARE &amp; TAG A FRIEND \n_________________________________\nHealing the Family Tree workshop\nComing to London? https://t.co/ZWK8doQzRX',51.50711486,-0.12731805;
"Jearojas,Sat Aug 10 21:01:33 +0000 2019,""b'Borough Market\nTried a bunch of different things from fresh pasta to cheese infused with alcohol @ London, United K? https://t.co/RUZHytbjo5'"",51.50711486,-0.12731805";;
"r_miranda,Sat Aug 10 21:00:33 +0000 2019,""b'~ tenho saudades tuas, mas n?o te quero aqui ~ @ London, United Kingdom https://t.co/EM0ynSJgIr'"",51.50711486,-0.12731805";;
SunnyAhonsi,Sat Aug 10 20:59:33 +0000 2019,b'The Uberization of the HealthCare Industry.\n\n#MediLiVes #MLIV #IEO #technology #healthcare #ICOLIVE #Medical #AI? https://t.co/HzXdIiNErz',51.50711486,-0.12731805;;
psychNstrength,Sat Aug 10 20:56:21 +0000 2019,b'? GOALS ?\n.\n??We?re into the Eight month of the year and who?s still going at their original goal?\n.\n?Goals are imp? https://t.co/ipb7xJB1Gh',51.50711486,-0.12731805;;
KatyGomersall,Sat Aug 10 20:55:43 +0000 2019,b'OMG Jason Donovan just liked my post ??????#lifeiscomplete #jason #joseph #amazeballs @ Carnaby London https://t.co/IvLvtHFqXz',51.51339,-0.13908;;
"stephlui,Sat Aug 10 20:53:41 +0000 2019,""b'Empties\n.\n.\ndrjart\nSoothing, Moisturising &amp";" Light\nHaven?t been able to find one that gives this effect in a tube an? https://t.co/wMOvjXVTsz'"",51.50711486,-0.12731805";
"cathrinatower,Sat Aug 10 20:50:16 +0000 2019,""b'Hold your breathe, I?m just starting. @ London, United Kingdom https://t.co/TfkdXYDMtX'"",51.50711486,-0.12731805";;
thatgrimes,Sat Aug 10 20:47:42 +0000 2019,b'This black coconut ice cream is amazing! @ Mamasons Dirty Ice Cream https://t.co/AjboBA3KrV',51.51194591,-0.12896866;;
"RamgarhiaSabha,Sat Aug 10 20:47:36 +0000 2019,""b'Without the Guru, I have no other at all @ London, United Kingdom https://t.co/dj0CdCTXtd'"",51.50711486,-0.12731805";;
"Directedbybc,Sat Aug 10 20:47:20 +0000 2019,""b'From CALIFORNIA to LONDON UK - FUEL FEST UK 2019 MAKING BIG BOY MOVES ??? @ London, United Kingdom https://t.co/gXIxYO4LmU'"",51.50711486,-0.12731805";;
